Period,Canadian Dollar ($CADUSD) - Rate Value,CAN CPI,US CPI,CAN Foreign Reserves,US Foreign Reserves,Foreign Reserves Difference,Foreign Reserves Difference Percentage,CPI Difference,CPI Difference Percentage
1991-01,1.1558064516129032,6.91,5.65,16.05,53.56,-37.510000000000005,2.337071651090343,1.2599999999999998,-0.18234442836468878
1991-02,1.1539285714285712,6.22,5.31,14.71,51.23,-36.519999999999996,2.482664853840924,0.9100000000000001,-0.1463022508038585
1991-03,1.157741935483871,6.19,4.9,14.9,47.67,-32.77,2.1993288590604028,1.29,-0.20840064620355414
1991-04,1.153333333333333,6.19,4.89,13.78,48.11,-34.33,2.491291727140784,1.3000000000000007,-0.21001615508885307
1991-05,1.15,6.16,4.95,15.16,47.84,-32.68000000000001,2.1556728232189974,1.21,-0.1964285714285714
1991-06,1.1433333333333333,6.27,4.7,14.47,44.94,-30.47,2.1057360055286796,1.5699999999999994,-0.2503987240829345
1991-07,1.149032258064516,5.99,4.45,14.71,44.66,-29.949999999999996,2.0360299116247447,1.54,-0.25709515859766274
1991-08,1.1441935483870966,5.98,3.8,15.96,43.25,-27.29,1.7098997493734336,2.1800000000000006,-0.3645484949832777
1991-09,1.1376666666666666,5.46,3.39,15.99,43.85,-27.86,1.742338961851157,2.07,-0.3791208791208791
1991-10,1.1287096774193546,4.4,2.92,14.85,43.67,-28.82,1.940740740740741,1.4800000000000004,-0.3363636363636364
1991-11,1.1313333333333333,4.13,2.99,15.24,43.71,-28.47,1.8681102362204727,1.1399999999999997,-0.2760290556900725
1991-12,1.1483870967741934,3.75,3.06,14.08,45.93,-31.85,2.2620738636363638,0.69,-0.18399999999999994
1992-01,1.1558064516129032,1.59,2.6,13.98,44.72,-30.74,2.1988555078683834,-1.01,0.6352201257861636
1992-02,1.183103448275862,1.59,2.82,13.91,44.01,-30.099999999999998,2.1639108554996405,-1.2299999999999998,0.7735849056603772
1992-03,1.1925806451612904,1.58,3.19,12.6,43.66,-31.059999999999995,2.4650793650793648,-1.6099999999999999,1.0189873417721516
1992-04,1.188,1.7,3.18,12.79,43.76,-30.97,2.421422986708366,-1.4800000000000002,0.8705882352941179
1992-05,1.199032258064516,1.33,3.02,12.66,43.04,-30.38,2.399684044233807,-1.69,1.270676691729323
