Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1983-11-01,1.23,11.0,11.0,0.0,0.0
1983-11-02,1.23,11.0,11.0,0.0,0.0
1983-11-03,1.23,11.0,11.0,0.0,0.0
1983-11-04,1.23,11.0,11.0,0.0,0.0
1983-11-07,1.24,11.0,11.0,0.0,0.0
1983-11-09,1.24,11.0,11.0,0.0,0.0
1983-11-10,1.23,11.0,11.0,0.0,0.0
1983-11-14,1.24,11.0,11.0,0.0,0.0
1983-11-15,1.24,11.0,11.0,0.0,0.0
1983-11-16,1.24,11.0,11.0,0.0,0.0
1983-11-17,1.24,11.0,11.0,0.0,0.0
1983-11-18,1.24,11.0,11.0,0.0,0.0
1983-11-21,1.24,11.0,11.0,0.0,0.0
1983-11-22,1.24,11.0,11.0,0.0,0.0
1983-11-23,1.24,11.0,11.0,0.0,0.0
1983-11-28,1.24,11.0,11.0,0.0,0.0
1983-11-29,1.24,11.0,11.0,0.0,0.0
1983-11-30,1.24,11.0,11.0,0.0,0.0
1983-12-01,1.24,11.0,11.0,0.0,0.0
1983-12-02,1.24,11.0,11.0,0.0,0.0
1983-12-05,1.25,11.0,11.0,0.0,0.0
1983-12-06,1.24,11.0,11.0,0.0,0.0
1983-12-07,1.24,11.0,11.0,0.0,0.0
1983-12-08,1.24,11.0,11.0,0.0,0.0
1983-12-09,1.25,11.0,11.0,0.0,0.0
1983-12-12,1.25,11.0,11.0,0.0,0.0
1983-12-14,1.25,11.0,11.0,0.0,0.0
1983-12-15,1.25,11.0,11.0,0.0,0.0
1983-12-16,1.25,11.0,11.0,0.0,0.0
1983-12-19,1.25,11.0,11.0,0.0,0.0
1983-12-20,1.25,11.0,11.0,0.0,0.0
1983-12-21,1.25,11.0,11.0,0.0,0.0
1983-12-22,1.25,11.0,11.0,0.0,0.0
1983-12-23,1.25,11.0,11.0,0.0,0.0
1983-12-28,1.25,11.0,11.0,0.0,0.0
